PC1,PC2,PC3,cluster,Url,,,,,PCA-X,PCA-Y,PCA-Z
0.912450926,7.042469407,-21.33257773,4,https://www.instagram.com/p/BfHVbkED5UK/,,,,,50.91245093,57.04246941,28.66742227
-1.718621071,2.622916329,-19.66256013,4,https://www.instagram.com/p/BiZjp7Yl0r9/,,,,,48.28137893,52.62291633,30.33743987
-1.644685374,5.89938093,-19.29401061,4,https://www.instagram.com/p/BXyJBQgBfu3/,,,,,48.35531463,55.89938093,30.70598939
0.296764319,3.346989993,-19.22872643,4,https://www.instagram.com/p/BaFSB0DARrG/,,,,,50.29676432,53.34698999,30.77127357
-6.784654533,10.31146256,-18.0851989,4,https://www.instagram.com/p/BeDqyn-Fbzv/,,,,,43.21534547,60.31146256,31.9148011
-0.28543186,10.55856964,-18.00592184,4,https://www.instagram.com/p/BfM6Uh8Ht48/,,,,,49.71456814,60.55856964,31.99407816
0.529963398,5.264086345,-17.63389005,4,https://www.instagram.com/p/BZHLiHJldE7/,,,,,50.5299634,55.26408634,32.36610995
0.424975867,4.177085142,-17.42149755,4,https://www.instagram.com/p/BfMGhj5ANfQ/,,,,,50.42497587,54.17708514,32.57850245
-7.561022571,31.83731274,-17.22909798,4,https://www.instagram.com/p/BY9v0cAnZox/,,,,,42.43897743,81.83731274,32.77090202
-4.264762647,0.414352598,-16.62525857,4,https://www.instagram.com/p/BZSApcEgFNS/,,,,,45.73523735,50.4143526,33.37474143
-9.47974773,1.874609496,-16.48564672,4,https://www.instagram.com/p/BWyCOLXHJKy/,,,,,40.52025227,51.8746095,33.51435328
-1.598011487,1.412644554,-16.37087897,4,https://www.instagram.com/p/BaW02-LA3hY/,,,,,48.40198851,51.41264455,33.62912103
-2.283811977,7.081080345,-16.28185444,4,https://www.instagram.com/p/BXHqSxVhJEs/,,,,,47.71618802,57.08108034,33.71814556
2.022560423,7.362700026,-16.13698611,4,https://www.instagram.com/p/BY_T6ajnhSD/,,,,,52.02256042,57.36270003,33.86301389
-5.969577962,26.28601018,-16.01376966,4,https://www.instagram.com/p/BbnHhXsljzT/,,,,,44.03042204,76.28601018,33.98623034
-0.277489645,1.80194161,-16.00462819,4,https://www.instagram.com/p/BZ49Fy1A1Lq/,,,,,49.72251035,51.80194161,33.99537181
-3.348081141,12.42264824,-15.68264759,4,https://www.instagram.com/p/BiCNlZeAPny/,,,,,46.65191886,62.42264824,34.31735241
-0.694948186,6.182684011,-15.61586069,4,https://www.instagram.com/p/BlIzqHbAaAw/,,,,,49.30505181,56.18268401,34.38413931
0.144684372,3.322842954,-15.60095135,4,https://www.instagram.com/p/Bkp3oHeHlIE/,,,,,50.14468437,53.32284295,34.39904865
0.204519674,3.968695488,-15.57871048,4,https://www.instagram.com/p/Bh62yCdgcuQ/,,,,,50.20451967,53.96869549,34.42128952
1.39780588,7.133625434,-15.42417866,4,https://www.instagram.com/p/BZttZBnAzAK/,,,,,51.39780588,57.13362543,34.57582134
0.752184024,4.734318682,-15.2288406,4,https://www.instagram.com/p/BdOebJyl8yR/,,,,,50.75218402,54.73431868,34.7711594
-3.211049576,6.376708779,-15.19588813,4,https://www.instagram.com/p/BcymQk6g12r/,,,,,46.78895042,56.37670878,34.80411187
1.013205971,6.624949555,-15.12430109,4,https://www.instagram.com/p/BkxWjxhHBrK/,,,,,51.01320597,56.62494956,34.87569891
0.975460182,7.372735266,-15.07047473,4,https://www.instagram.com/p/Bhw0PSmHCMI/,,,,,50.97546018,57.37273527,34.92952527
-0.221316554,4.450920334,-15.07031612,4,https://www.instagram.com/p/BXyePvIFht4/,,,,,49.77868345,54.45092033,34.92968388
-1.234209652,1.606203035,-15.0354063,4,https://www.instagram.com/p/BZ_xJcbHH9u/,,,,,48.76579035,51.60620304,34.9645937
1.429222206,2.893420274,-14.94467691,4,https://www.instagram.com/p/BYbLKyhDCjB/,,,,,51.42922221,52.89342027,35.05532309
1.205048676,4.522027891,-14.91840076,4,https://www.instagram.com/p/BiQZM1ZFyl6/,,,,,51.20504868,54.52202789,35.08159924
0.128820357,8.609656248,-14.86187891,4,https://www.instagram.com/p/BfMJAbIHQvE/,,,,,50.12882036,58.60965625,35.13812109
0.146292222,3.520009813,-14.82612082,4,https://www.instagram.com/p/BjbPqDMH9Hz/,,,,,50.14629222,53.52000981,35.17387918
-2.197245211,0.478206305,-14.77397148,4,https://www.instagram.com/p/Bjud5yxnTdb/,,,,,47.80275479,50.4782063,35.22602852
-1.848585579,11.59749084,-14.47518695,4,https://www.instagram.com/p/Bc8eOpxHQlW/,,,,,48.15141442,61.59749084,35.52481305
1.376945414,1.866878065,-14.45210711,4,https://www.instagram.com/p/BaC96ocgoV0/,,,,,51.37694541,51.86687807,35.54789289
-0.667954195,4.402035915,-14.43662593,4,https://www.instagram.com/p/BjxB6eUDIdo/,,,,,49.33204581,54.40203592,35.56337407
3.253591201,5.499096024,-14.40670979,4,https://www.instagram.com/p/Bj54bThFYk0/,,,,,53.2535912,55.49909602,35.59329021
-4.24290026,12.19163064,-14.3963613,4,https://www.instagram.com/p/BeDt5WTFSKj/,,,,,45.75709974,62.19163064,35.6036387
-4.449463435,20.4371101,-14.09088369,4,https://www.instagram.com/p/Bk53HO7gSWT/,,,,,45.55053657,70.4371101,35.90911631
1.602047882,2.512542817,-13.78134018,4,https://www.instagram.com/p/BcIdhIwBVai/,,,,,51.60204788,52.51254282,36.21865982
1.054412088,2.035685615,-13.5385823,4,https://www.instagram.com/p/Bb2DbFFj0iC/,,,,,51.05441209,52.03568562,36.4614177
0.681048063,2.767362337,-13.37633741,4,https://www.instagram.com/p/BZpvNvygG2U/,,,,,50.68104806,52.76736234,36.62366259
-0.212548346,5.19605538,-13.36539777,4,https://www.instagram.com/p/BkvLGThHhje/,,,,,49.78745165,55.19605538,36.63460223
